Pango.lineage	Pango.lineage.original
BQ.1.1.11	B.1.1.529.5.3.1.1.1.1.1.1.11
BQ.1.1.12	B.1.1.529.5.3.1.1.1.1.1.1.12
BQ.1.1.13	B.1.1.529.5.3.1.1.1.1.1.1.13
BQ.1.1.14	B.1.1.529.5.3.1.1.1.1.1.1.14
CW.1	B.1.1.529.5.3.1.1.1.1.1.1.14.1
BQ.1.1.15	B.1.1.529.5.3.1.1.1.1.1.1.15
BQ.1.1.16	B.1.1.529.5.3.1.1.1.1.1.1.16
BQ.1.1.17	B.1.1.529.5.3.1.1.1.1.1.1.17
BQ.1.1.18	B.1.1.529.5.3.1.1.1.1.1.1.18
BQ.1.1.19	B.1.1.529.5.3.1.1.1.1.1.1.19
BQ.1.1.20	B.1.1.529.5.3.1.1.1.1.1.1.20
BQ.1.1.21	B.1.1.529.5.3.1.1.1.1.1.1.21
BQ.1.1.22	B.1.1.529.5.3.1.1.1.1.1.1.22
BQ.1.1.23	B.1.1.529.5.3.1.1.1.1.1.1.23
BQ.1.1.24	B.1.1.529.5.3.1.1.1.1.1.1.24
BQ.1.1.25	B.1.1.529.5.3.1.1.1.1.1.1.25
BQ.1.2	B.1.1.529.5.3.1.1.1.1.1.2
BQ.1.3	B.1.1.529.5.3.1.1.1.1.1.3
BQ.1.4	B.1.1.529.5.3.1.1.1.1.1.4
BQ.1.5	B.1.1.529.5.3.1.1.1.1.1.5
BQ.1.6	B.1.1.529.5.3.1.1.1.1.1.6
BQ.1.7	B.1.1.529.5.3.1.1.1.1.1.7
BQ.1.8	B.1.1.529.5.3.1.1.1.1.1.8
BQ.1.8.1	B.1.1.529.5.3.1.1.1.1.1.8.1
BQ.1.8.2	B.1.1.529.5.3.1.1.1.1.1.8.2
BQ.1.9	B.1.1.529.5.3.1.1.1.1.1.9
BQ.1.10	B.1.1.529.5.3.1.1.1.1.1.10
BQ.1.10.1	B.1.1.529.5.3.1.1.1.1.1.10.1
BQ.1.11	B.1.1.529.5.3.1.1.1.1.1.11
BQ.1.12	B.1.1.529.5.3.1.1.1.1.1.12
BQ.1.13	B.1.1.529.5.3.1.1.1.1.1.13
BQ.1.14	B.1.1.529.5.3.1.1.1.1.1.14
BQ.1.15	B.1.1.529.5.3.1.1.1.1.1.15
BQ.1.16	B.1.1.529.5.3.1.1.1.1.1.16
BQ.1.17	B.1.1.529.5.3.1.1.1.1.1.17
BQ.1.18	B.1.1.529.5.3.1.1.1.1.1.18
BQ.1.19	B.1.1.529.5.3.1.1.1.1.1.19
BQ.1.20	B.1.1.529.5.3.1.1.1.1.1.20
BQ.1.21	B.1.1.529.5.3.1.1.1.1.1.21
BQ.1.22	B.1.1.529.5.3.1.1.1.1.1.22
BQ.1.23	B.1.1.529.5.3.1.1.1.1.1.23
BQ.1.24	B.1.1.529.5.3.1.1.1.1.1.24
BQ.1.25	B.1.1.529.5.3.1.1.1.1.1.25
BQ.1.26	B.1.1.529.5.3.1.1.1.1.1.26
BQ.2	B.1.1.529.5.3.1.1.1.1.2
BE.1.2	B.1.1.529.5.3.1.1.2
BE.1.1.2	B.1.1.529.5.3.1.1.1.2
CC.1	B.1.1.529.5.3.1.1.1.2.1
BE.1.2.1	B.1.1.529.5.3.1.1.2.1
BE.1.3	B.1.1.529.5.3.1.1.3
BE.1.4	B.1.1.529.5.3.1.1.4
BE.1.4.1	B.1.1.529.5.3.1.1.4.1
BE.1.4.2	B.1.1.529.5.3.1.1.4.2
BE.1.4.3	B.1.1.529.5.3.1.1.4.3
BE.1.4.4	B.1.1.529.5.3.1.1.4.4
BE.2	B.1.1.529.5.3.1.2
BE.3	B.1.1.529.5.3.1.3
BE.4	B.1.1.529.5.3.1.4
BE.4.1	B.1.1.529.5.3.1.4.1
BE.4.1.1	B.1.1.529.5.3.1.4.1.1
CQ.1	B.1.1.529.5.3.1.4.1.1.1
CQ.1.1	B.1.1.529.5.3.1.4.1.1.1.1
CQ.2	B.1.1.529.5.3.1.4.1.1.2
BE.4.2	B.1.1.529.5.3.1.4.2
BE.5	B.1.1.529.5.3.1.5
BE.6	B.1.1.529.5.3.1.6
BE.7	B.1.1.529.5.3.1.7
BE.8	B.1.1.529.5.3.1.8
BE.9	B.1.1.529.5.3.1.9
BA.5.3.2	B.1.1.529.5.3.2
BA.5.3.3	B.1.1.529.5.3.3
BA.5.3.4	B.1.1.529.5.3.4
BA.5.3.5	B.1.1.529.5.3.5
BA.5.5	B.1.1.529.5.5
BA.5.5.1	B.1.1.529.5.5.1
BA.5.5.2	B.1.1.529.5.5.2
BA.5.5.3	B.1.1.529.5.5.3
BA.5.6	B.1.1.529.5.6
BA.5.6.1	B.1.1.529.5.6.1
BA.5.6.2	B.1.1.529.5.6.2
BA.5.6.3	B.1.1.529.5.6.3
BA.5.6.4	B.1.1.529.5.6.4
BW.1	B.1.1.529.5.6.2.1
BW.1.1	B.1.1.529.5.6.2.1.1
BA.5.7	B.1.1.529.5.7
BA.5.8	B.1.1.529.5.8
BA.5.9	B.1.1.529.5.9
BA.5.10	B.1.1.529.5.10
BA.5.10.1	B.1.1.529.5.10.1
DF.1	B.1.1.529.5.10.1.1
BA.5.11	B.1.1.529.5.11
AB.1	B.1.160.16.1
AA.1	B.1.177.15.1
AA.2	B.1.177.15.2
AA.3	B.1.177.15.3
AA.4	B.1.177.15.4
AA.5	B.1.177.15.5
AA.6	B.1.177.15.6
AA.7	B.1.177.15.7
AA.8	B.1.177.15.8
Z.1	B.1.177.50.1
Y.1	B.1.177.52.1
W.1	B.1.177.53.1
W.2	B.1.177.53.2
W.3	B.1.177.53.3
W.4	B.1.177.53.4
V.1	B.1.177.54.1
V.2	B.1.177.54.2
U.1	B.1.177.60.1
U.2	B.1.177.60.2
U.3	B.1.177.60.3
G.1	B.1.258.2.1
AU.1	B.1.466.2.1
AU.2	B.1.466.2.2
AU.3	B.1.466.2.3
AY.1	B.1.617.2.1
AY.2	B.1.617.2.2
AY.3	B.1.617.2.3
AY.3.1	B.1.617.2.3.1
AY.3.2	B.1.617.2.3.2
AY.3.3	B.1.617.2.3.3
AY.3.4	B.1.617.2.3.4
AY.4	B.1.617.2.4
AY.4.1	B.1.617.2.4.1
AY.4.2	B.1.617.2.4.2
AY.4.2.1	B.1.617.2.4.2.1
AY.4.2.2	B.1.617.2.4.2.2
AY.4.2.3	B.1.617.2.4.2.3
AY.4.2.4	B.1.617.2.4.2.4
AY.4.2.5	B.1.617.2.4.2.5
AY.4.3	B.1.617.2.4.3
AY.4.4	B.1.617.2.4.4
AY.4.5	B.1.617.2.4.5
AY.4.6	B.1.617.2.4.6
AY.4.7	B.1.617.2.4.7
AY.4.8	B.1.617.2.4.8
AY.4.9	B.1.617.2.4.9
AY.4.10	B.1.617.2.4.10
AY.4.11	B.1.617.2.4.11
AY.4.12	B.1.617.2.4.12
AY.4.13	B.1.617.2.4.13
AY.4.14	B.1.617.2.4.14
AY.4.15	B.1.617.2.4.15
AY.4.16	B.1.617.2.4.16
AY.4.17	B.1.617.2.4.17
AY.5	B.1.617.2.5
AY.5.1	B.1.617.2.5.1
AY.5.2	B.1.617.2.5.2
AY.5.3	B.1.617.2.5.3
AY.5.4	B.1.617.2.5.4
AY.5.5	B.1.617.2.5.5
AY.5.6	B.1.617.2.5.6
AY.5.7	B.1.617.2.5.7
AY.6	B.1.617.2.6
AY.7	B.1.617.2.7
AY.7.1	B.1.617.2.7.1
AY.7.2	B.1.617.2.7.2
AY.8	B.1.617.2.8
AY.9	B.1.617.2.9
AY.9.2	B.1.617.2.9.2
AY.9.2.1	B.1.617.2.9.2.1
AY.9.2.2	B.1.617.2.9.2.2
AY.10	B.1.617.2.10
AY.11	B.1.617.2.11
AY.13	B.1.617.2.13
AY.14	B.1.617.2.14
AY.15	B.1.617.2.15
AY.16	B.1.617.2.16
AY.16.1	B.1.617.2.16.1
AY.17	B.1.617.2.17
AY.18	B.1.617.2.18
AY.19	B.1.617.2.19
AY.20	B.1.617.2.20
AY.20.1	B.1.617.2.20.1
AY.21	B.1.617.2.21
AY.22	B.1.617.2.22
AY.23	B.1.617.2.23
AY.23.1	B.1.617.2.23.1
AY.23.2	B.1.617.2.23.2
AY.24	B.1.617.2.24
AY.24.1	B.1.617.2.24.1
AY.25	B.1.617.2.25
AY.25.1	B.1.617.2.25.1
AY.25.1.1	B.1.617.2.25.1.1
AY.25.1.2	B.1.617.2.25.1.2
AY.25.2	B.1.617.2.25.2
AY.25.3	B.1.617.2.25.3
AY.26	B.1.617.2.26
AY.26.1	B.1.617.2.26.1
AY.27	B.1.617.2.27
AY.28	B.1.617.2.28
AY.29	B.1.617.2.29
AY.29.1	B.1.617.2.29.1
AY.29.2	B.1.617.2.29.2
AY.30	B.1.617.2.30
AY.31	B.1.617.2.31
AY.32	B.1.617.2.32
AY.33	B.1.617.2.33
AY.33.1	B.1.617.2.33.1
AY.33.2	B.1.617.2.33.2
AY.34	B.1.617.2.34
AY.34.1	B.1.617.2.34.1
AY.34.1.1	B.1.617.2.34.1.1
AY.34.2	B.1.617.2.34.2
AY.35	B.1.617.2.35
AY.36	B.1.617.2.36
AY.36.1	B.1.617.2.36.1
AY.37	B.1.617.2.37
AY.38	B.1.617.2.38
AY.39	B.1.617.2.39
AY.39.1	B.1.617.2.39.1
AY.39.1.1	B.1.617.2.39.1.1
AY.39.1.2	B.1.617.2.39.1.2
AY.39.1.3	B.1.617.2.39.1.3
AY.39.1.4	B.1.617.2.39.1.4
AY.39.2	B.1.617.2.39.2
AY.39.3	B.1.617.2.39.3
AY.39.4	B.1.617.2.39.4
AY.40	B.1.617.2.40
AY.41	B.1.617.2.41
AY.42	B.1.617.2.42
AY.42.1	B.1.617.2.42.1
AY.43	B.1.617.2.43
AY.43.1	B.1.617.2.43.1
AY.43.2	B.1.617.2.43.2
AY.43.3	B.1.617.2.43.3
AY.43.4	B.1.617.2.43.4
AY.43.5	B.1.617.2.43.5
AY.43.6	B.1.617.2.43.6
AY.43.7	B.1.617.2.43.7
AY.43.8	B.1.617.2.43.8
AY.43.9	B.1.617.2.43.9
AY.44	B.1.617.2.44
AY.45	B.1.617.2.45
AY.46	B.1.617.2.46
AY.46.1	B.1.617.2.46.1
AY.46.2	B.1.617.2.46.2
AY.46.3	B.1.617.2.46.3
AY.46.4	B.1.617.2.46.4
AY.46.5	B.1.617.2.46.5
AY.46.6	B.1.617.2.46.6
AY.46.6.1	B.1.617.2.46.6.1
AY.47	B.1.617.2.47
AY.48	B.1.617.2.48
AY.49	B.1.617.2.49
AY.50	B.1.617.2.50
AY.51	B.1.617.2.51
AY.52	B.1.617.2.52
AY.53	B.1.617.2.53
AY.54	B.1.617.2.54
AY.55	B.1.617.2.55
AY.56	B.1.617.2.56
AY.57	B.1.617.2.57
AY.58	B.1.617.2.58
AY.59	B.1.617.2.59
AY.60	B.1.617.2.60
AY.61	B.1.617.2.61
AY.62	B.1.617.2.62
AY.63	B.1.617.2.63
AY.64	B.1.617.2.64
AY.65	B.1.617.2.65
AY.66	B.1.617.2.66
AY.67	B.1.617.2.67
AY.68	B.1.617.2.68
AY.69	B.1.617.2.69
AY.70	B.1.617.2.70
AY.71	B.1.617.2.71
AY.72	B.1.617.2.72
AY.73	B.1.617.2.73
AY.74	B.1.617.2.74
AY.75	B.1.617.2.75
AY.75.2	B.1.617.2.75.2
AY.75.3	B.1.617.2.75.3
AY.76	B.1.617.2.76
AY.77	B.1.617.2.77
AY.78	B.1.617.2.78
AY.79	B.1.617.2.79
AY.80	B.1.617.2.80
AY.81	B.1.617.2.81
AY.82	B.1.617.2.82
AY.83	B.1.617.2.83
AY.84	B.1.617.2.84
AY.85	B.1.617.2.85
AY.86	B.1.617.2.86
AY.87	B.1.617.2.87
AY.88	B.1.617.2.88
AY.90	B.1.617.2.90
AY.91	B.1.617.2.91
AY.91.1	B.1.617.2.91.1
AY.92	B.1.617.2.92
AY.93	B.1.617.2.93
AY.94	B.1.617.2.94
AY.95	B.1.617.2.95
AY.98	B.1.617.2.98
AY.98.1	B.1.617.2.98.1
AY.98.1.1	B.1.617.2.98.1.1
AY.99	B.1.617.2.99
AY.99.1	B.1.617.2.99.1
AY.99.2	B.1.617.2.99.2
AY.100	B.1.617.2.100
AY.101	B.1.617.2.101
AY.102	B.1.617.2.102
AY.102.1	B.1.617.2.102.1
AY.102.2	B.1.617.2.102.2
AY.103	B.1.617.2.103
AY.103.1	B.1.617.2.103.1
AY.103.2	B.1.617.2.103.2
AY.104	B.1.617.2.104
AY.105	B.1.617.2.105
AY.106	B.1.617.2.106
AY.107	B.1.617.2.107
AY.108	B.1.617.2.108
AY.109	B.1.617.2.109
AY.110	B.1.617.2.110
AY.111	B.1.617.2.111
AY.112	B.1.617.2.112
AY.112.1	B.1.617.2.112.1
AY.112.2	B.1.617.2.112.2
AY.112.3	B.1.617.2.112.3
AY.113	B.1.617.2.113
AY.114	B.1.617.2.114
AY.116	B.1.617.2.116
AY.116.1	B.1.617.2.116.1
AY.117	B.1.617.2.117
AY.118	B.1.617.2.118
AY.119	B.1.617.2.119
AY.119.1	B.1.617.2.119.1
AY.119.2	B.1.617.2.119.2
AY.120	B.1.617.2.120
AY.120.1	B.1.617.2.120.1
AY.120.2	B.1.617.2.120.2
AY.120.2.1	B.1.617.2.120.2.1
AY.121	B.1.617.2.121
AY.121.1	B.1.617.2.121.1
AY.122	B.1.617.2.122
AY.122.1	B.1.617.2.122.1
AY.122.2	B.1.617.2.122.2
AY.122.3	B.1.617.2.122.3
AY.122.4	B.1.617.2.122.4
AY.122.5	B.1.617.2.122.5
AY.122.6	B.1.617.2.122.6
AY.123	B.1.617.2.123
AY.123.1	B.1.617.2.123.1
AY.124	B.1.617.2.124
AY.124.1	B.1.617.2.124.1
AY.124.1.1	B.1.617.2.124.1.1
AY.125	B.1.617.2.125
AY.125.1	B.1.617.2.125.1
AY.126	B.1.617.2.126
AY.127	B.1.617.2.127
AY.127.1	B.1.617.2.127.1
AY.127.2	B.1.617.2.127.2
AY.127.3	B.1.617.2.127.3
AY.128	B.1.617.2.128
AY.129	B.1.617.2.129
AY.130	B.1.617.2.130
AY.131	B.1.617.2.131
AY.132	B.1.617.2.132
AY.133	B.1.617.2.133
BB.2	B.1.621.1.2
